================================================================================
Byte-by-byte Description of file: plan_bin500au.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Explanations
--------------------------------------------------------------------------------
   1- 15 A15    ---     Most commonly used name of the parent star
  16- 25 A10    ---     Alternate name (if any, otherwise "X")
  26- 31 F6.3   Msun    Mass of the parent star
  32- 37 F6.3   Msun    Mass of the companion star
  38- 45 F8.2   pc      Distance to the system
  46- 47 I2     ---     Method of detection (1=transit, 2=RV, 3=other)
  48- 54 F7.2   au      semi-major axis of the binary (if orbit known) or projected separation between the 2 stars
  55- 61 F7.3   ---     eccentricicy of the binary's orbit (if orbit unknown then e=99.)
  62- 63 I2     ---     Number of detected planets orbiting the star
  64- 71 F8.4   au      semi-major axis of the outermost planet in the system
  72- 77 F6.3   ---     eccentricity of the outermost planet in the system
  78- 86 F9.5   Mjup    estimated mass of the outermost planet in the system
  87- 93 F7.2   au      critical distance to parent star for orbital stability (assuming coplanarity and using empirical formula of Holman&Wiegert(1999))
  94-101 F8.3   deg     inclination between binary and planetary orbital planes (if unknown then 999.)

Note 1: complete for all S-type planet-hosting binaries of separation <500au
Note 2: when only the radius of the planet is known, its mass is (very) roughly estimated with a crude R_plan**3 scaling.
Note 3: for notes and references on individual systems, please go to exoplanet.eu/planets_binary_notes
--------------------------------------------------------------------------------
        HD42936	   DMPP-3 0.900 0.087   48.90 2   1.22  0.594 1  0.0662 0.140  0.00770   0.16 999.000
      Kepler693         X 0.760 0.150 1002.00 1   2.90  0.480 1  0.1120 0.140  0.80000   0.50  53.000
         TOI179   HD18599 0.807 0.080   38.58 1   3.52 99.000 1  0.0476 0.340  0.07580   1.51 999.000
      Kepler420   KOI1257 0.990 0.700  900.00 1   5.20  0.310 1  0.3820 0.772  1.45000   1.00  18.000
           GJ65         X 1.122 1.116    2.70 2   5.46  0.617 1  0.2740 0.270  0.12000   0.46  30.000
       HIP90988  HD170707 1.300 0.097   93.18 2   7.48  0.289 1  1.3600 0.081  2.10000   2.08 999.000
        HD72892         X 1.020 0.073   72.78 2   8.12  0.375 1  0.2280 0.423  5.45000   1.92 999.000
        TOI1736         X 1.000 0.780   88.90 1   8.20 99.000 2  1.3500 0.160  8.26000   2.44 999.000
       HD144899         X 1.160 0.095  113.00 2   8.33  0.355 1  0.2420 0.821  0.06400   2.03 999.000
        HD28192         X 1.080 0.090   49.80 2   8.50  0.029 1  0.1180 0.104  0.31400   3.55 999.000
       HIP86221         X 0.790 0.510   29.48 2   8.50  0.205 1  0.0310 0.086  0.71000   2.00 165.000
     Kepler1027   KOI1961 0.900 0.800  404.80 1  11.50  0.790 1  0.0300 0.000  0.00200   0.46  34.500
     Kepler1130	  KOI2169 0.919 0.208  249.30 1  12.00  0.670 3  0.0596 0.000  0.00130   1.13 999.000
        HD59686         X 1.900 0.530   92.00 2  13.56  0.729 1  1.0860 0.050  6.92000   0.96 999.000
